date,country,ISO_2
2016-01-01,Argentina,AR
2016-01-01,Australia,AU
2016-01-01,Austria,AT
2016-01-01,Belarus,BY
2016-01-01,Belgium,BE
2016-01-01,Brazil,BR
2016-01-01,Canada,CA
2016-01-01,Colombia,CO
2016-01-01,Croatia,HR
2016-01-01,Czech,CZ
2016-01-01,Denmark,DK
2016-01-01,England,None
2016-01-01,Finland,FI
2016-01-01,France,FR
2016-01-01,Germany,DE
2016-01-01,Hungary,HU
2016-01-01,Ireland,IE
2016-01-01,Isle of Man,IM
2016-01-01,Italy,IT
2016-01-01,Japan,JP
2016-01-01,Mexico,MX
2016-01-01,Netherlands,NL
2016-01-01,New Zealand,NZ
2016-01-01,Northern Ireland,None
2016-01-01,Norway,NO
2016-01-01,Poland,PL
2016-01-01,Portugal,PT
2016-01-01,Scotland,None
2016-01-01,Slovenia,SI
2016-01-01,South Africa,ZA
2016-01-01,Spain,ES
2016-01-01,Sweden,SE
2016-01-01,Switzerland,CH
2016-01-01,Ukraine,UA
2016-01-01,United Kingdom,GB
2016-01-01,United States,US
2016-01-01,Wales,None
2016-01-02,New Zealand,NZ
2016-01-02,Scotland,None
2016-01-02,United Kingdom,GB
2016-01-03,Norway,NO
2016-01-03,Sweden,SE
2016-01-04,New Zealand,NZ
2016-01-04,Scotland,None
2016-01-04,United Kingdom,GB
2016-01-06,Austria,AT
2016-01-06,Croatia,HR
2016-01-06,Finland,FI
2016-01-06,Italy,IT
2016-01-06,Poland,PL
2016-01-06,Spain,ES
2016-01-06,Sweden,SE
2016-01-07,Belarus,BY
2016-01-07,Ukraine,UA
2016-01-10,Norway,NO
2016-01-10,Sweden,SE
2016-01-11,Colombia,CO
2016-01-11,Japan,JP
2016-01-14,India,IN
2016-01-17,Norway,NO
2016-01-17,Sweden,SE
2016-01-18,United States,US
2016-01-24,Norway,NO
2016-01-24,Sweden,SE
2016-01-26,Australia,AU
2016-01-26,India,IN
2016-01-31,Norway,NO
2016-01-31,Sweden,SE
2016-02-01,Mexico,MX
2016-02-05,Mexico,MX
2016-02-06,New Zealand,NZ
2016-02-07,Norway,NO
2016-02-07,Sweden,SE
2016-02-08,Argentina,AR
2016-02-08,New Zealand,NZ
2016-02-08,Slovenia,SI
2016-02-09,Argentina,AR
2016-02-09,Brazil,BR
2016-02-10,Brazil,BR
2016-02-11,Japan,JP
2016-02-14,Norway,NO
2016-02-14,Sweden,SE
2016-02-15,Canada,CA
2016-02-15,United States,US
2016-02-21,Norway,NO
2016-02-21,Sweden,SE
2016-02-28,Norway,NO
2016-02-28,Sweden,SE
2016-03-06,Norway,NO
2016-03-06,Sweden,SE
2016-03-08,Belarus,BY
2016-03-08,Ukraine,UA
2016-03-13,Norway,NO
2016-03-13,Sweden,SE
2016-03-14,Hungary,HU
2016-03-15,Hungary,HU
2016-03-17,Ireland,IE
2016-03-17,Northern Ireland,None
2016-03-17,United Kingdom,GB
2016-03-20,Denmark,DK
2016-03-20,Japan,JP
2016-03-20,Norway,NO
2016-03-20,Sweden,SE
2016-03-21,Colombia,CO
2016-03-21,Japan,JP
2016-03-21,Mexico,MX
2016-03-21,South Africa,ZA
2016-03-24,Argentina,AR
2016-03-24,Colombia,CO
2016-03-24,Denmark,DK
2016-03-24,Norway,NO
2016-03-25,Argentina,AR
2016-03-25,Australia,AU
2016-03-25,Brazil,BR
2016-03-25,Canada,CA
2016-03-25,Colombia,CO
2016-03-25,Czech,CZ
2016-03-25,Denmark,DK
2016-03-25,England,None
2016-03-25,Finland,FI
2016-03-25,Germany,DE
2016-03-25,Isle of Man,IM
2016-03-25,Netherlands,NL
2016-03-25,New Zealand,NZ
2016-03-25,Northern Ireland,None
2016-03-25,Norway,NO
2016-03-25,Portugal,PT
2016-03-25,Scotland,None
2016-03-25,South Africa,ZA
2016-03-25,Sweden,SE
2016-03-25,Switzerland,CH
2016-03-25,United Kingdom,GB
2016-03-25,Wales,None
2016-03-27,Argentina,AR
2016-03-27,Belgium,BE
2016-03-27,Brazil,BR
2016-03-27,Croatia,HR
2016-03-27,Denmark,DK
2016-03-27,Finland,FI
2016-03-27,Hungary,HU
2016-03-27,Italy,IT
2016-03-27,Netherlands,NL
